Product	Voltage	pressure	pH	TOF_Coverage
CH4_g	-1.4767676767676767	0.0	6.8	8.259496878528466
CH4_g	-1.4686868686868686	0.0	6.8	7.074244239484771
CH4_g	-1.460606060606061	0.0	6.8	6.059674953698181
CH4_g	-1.4525252525252526	0.0	6.8	5.191097495000888
CH4_g	-1.4444444444444444	0.0	6.8	4.44740179443337
CH4_g	-1.4363636363636365	0.0	6.8	3.810543821467696
CH4_g	-1.4282828282828284	0.0	6.8	3.265101625329975
CH4_g	-1.4202020202020202	0.0	6.8	2.797893880178619
CH4_g	-1.412121212121212	0.0	6.8	2.397652894270285
CH4_g	-1.404040404040404	0.0	6.8	2.0547448664107884
CH4_g	-1.395959595959596	0.0	6.8	1.760930939019377
CH4_g	-1.387878787878788	0.0	6.8	1.5091633239732407
CH4_g	-1.3797979797979798	0.0	6.8	1.2934114674757085
CH4_g	-1.371717171717172	0.0	6.8	1.108513867156363
CH4_g	-1.3636363636363638	0.0	6.8	0.9500517498234812
CH4_g	-1.3555555555555556	0.0	6.8	0.814241355032796
CH4_g	-1.3474747474747475	0.0	6.8	0.6978420448781477
CH4_g	-1.3393939393939394	0.0	6.8	0.598077874820934
CH4_g	-1.3313131313131312	0.0	6.8	0.5125706174698683
CH4_g	-1.323232323232323	0.0	6.8	0.4392825362699203
CH4_g	-1.3151515151515152	0.0	6.8	0.3764674651176438
CH4_g	-1.307070707070707	0.0	6.8	0.3226289691345684
CH4_g	-1.2989898989898991	0.0	6.8	0.2764845469930033
CH4_g	-1.290909090909091	0.0	6.8	0.2369349915095617
CH4_g	-1.2828282828282829	0.0	6.8	0.2030381572459907
CH4_g	-1.2747474747474747	0.0	6.8	0.1739864954696214
CH4_g	-1.2666666666666666	0.0	6.8	0.1490878113062574
CH4_g	-1.2585858585858585	0.0	6.8	0.1277487780123571
CH4_g	-1.2505050505050506	0.0	6.8	0.1094608112917929
CH4_g	-1.2424242424242424	0.0	6.8	0.0937879643933283
CH4_g	-1.2343434343434343	0.0	6.8	0.0803565539385065
CH4_g	-1.2262626262626264	0.0	6.8	0.0688462683731322
CH4_g	-1.2181818181818185	0.0	6.8	0.0589825467195221
CH4_g	-1.21010101010101	0.0	6.8	0.050530045862466
CH4_g	-1.202020202020202	0.0	6.8	0.0432870407128092
CH4_g	-1.193939393939394	0.0	6.8	0.0370806239192234
CH4_g	-1.185858585858586	0.0	6.8	0.0317625908994151
CH4_g	-1.1777777777777778	0.0	6.8	0.027205912309657
CH4_g	-1.16969696969697	0.0	6.8	0.0233017100674913
CH4_g	-1.1616161616161618	0.0	6.8	0.0199566650278233
CH4_g	-1.1535353535353536	0.0	6.8	0.0170907946776078
CH4_g	-1.1454545454545455	0.0	6.8	0.0146355480058881
CH4_g	-1.1373737373737374	0.0	6.8	0.0125321722342045
CH4_g	-1.1292929292929292	0.0	6.8	0.0107303125357343
CH4_g	-1.121212121212121	0.0	6.8	0.0091868113807479
CH4_g	-1.1131313131313132	0.0	6.8	0.0078646788471519
CH4_g	-1.105050505050505	0.0	6.8	0.0067322092308691
CH4_g	-1.0969696969696972	0.0	6.8	0.0057622226602836
CH4_g	-1.088888888888889	0.0	6.8	0.004931413212099
CH4_g	-1.0808080808080809	0.0	6.8	0.0042197872560218
CH4_g	-1.0727272727272728	0.0	6.8	0.0036101773916532
CH4_g	-1.0646464646464646	0.0	6.8	0.00308781831599
CH4_g	-1.0565656565656565	0.0	6.8	0.0026399712171521
CH4_g	-1.0484848484848486	0.0	6.8	0.0022555828774296
CH4_g	-1.0404040404040404	0.0	6.8	0.0019249649354591
CH4_g	-1.0323232323232323	0.0	6.8	0.0016394790121043
CH4_g	-1.0242424242424244	0.0	6.8	0.0013912191512261
CH4_g	-1.0161616161616165	0.0	6.8	0.0011727078319749
CH4_g	-1.0121212121212122	0.0	6.8	0.001072334029679
CH4_g	-1.0101010101010102	0.0	6.8	0.0010239780946586
CH4_g	-1.0090909090909093	0.0	6.8	0.0010002105494335
CO_g	-1.8	0.0	6.8	1.1864214085448568
CO_g	-1.791919191919192	0.0	6.8	1.1962092599226934
CO_g	-1.7838383838383838	0.0	6.8	1.205984697942464
CO_g	-1.775757575757576	0.0	6.8	1.2157616567335048
CO_g	-1.7676767676767675	0.0	6.8	1.2255397865076143
CO_g	-1.7595959595959596	0.0	6.8	1.2353186410304795
CO_g	-1.7515151515151517	0.0	6.8	1.2450976359097103
CO_g	-1.7434343434343436	0.0	6.8	1.2548759875462818
CO_g	-1.7353535353535354	0.0	6.8	1.2646526235608273
CO_g	-1.7272727272727273	0.0	6.8	1.2744260512061971
CO_g	-1.7191919191919192	0.0	6.8	1.284194164098943
CO_g	-1.7111111111111112	0.0	6.8	1.2939539588943096
CO_g	-1.7030303030303031	0.0	6.8	1.3037011216345349
CO_g	-1.694949494949495	0.0	6.8	1.313429428093608
CO_g	-1.6868686868686869	0.0	6.8	1.3231298843759585
CO_g	-1.6787878787878787	0.0	6.8	1.3327895171862454
CO_g	-1.6707070707070708	0.0	6.8	1.3423897181058313
CO_g	-1.662626262626263	0.0	6.8	1.3519040760868857
CO_g	-1.6545454545454543	0.0	6.8	1.3612957403149273
CO_g	-1.6464646464646466	0.0	6.8	1.3705146053910036
CO_g	-1.6383838383838385	0.0	6.8	1.3794950588471957
CO_g	-1.6303030303030304	0.0	6.8	1.3881556312938577
CO_g	-1.6222222222222222	0.0	6.8	1.3964023238295369
CO_g	-1.614141414141414	0.0	6.8	1.4041369815525402
CO_g	-1.6060606060606062	0.0	6.8	1.411270215422521
CO_g	-1.597979797979798	0.0	6.8	1.4177355235377362
CO_g	-1.58989898989899	0.0	6.8	1.4234995124893215
CO_g	-1.5818181818181818	0.0	6.8	1.4285644665288668
CO_g	-1.573737373737374	0.0	6.8	1.432963270364605
CO_g	-1.5656565656565655	0.0	6.8	1.4367498924797315
CO_g	-1.5575757575757576	0.0	6.8	1.4399892880543417
CO_g	-1.5494949494949497	0.0	6.8	1.4427492377369324
CO_g	-1.5414141414141411	0.0	6.8	1.4450949244052658
CO_g	-1.5333333333333334	0.0	6.8	1.4470859495522987
CO_g	-1.5252525252525253	0.0	6.8	1.4487750964755015
CO_g	-1.5171717171717172	0.0	6.8	1.450208170731744
CO_g	-1.5090909090909093	0.0	6.8	1.4514244204505844
CO_g	-1.5010101010101011	0.0	6.8	1.4524572166836631
CO_g	-1.492929292929293	0.0	6.8	1.4552290661949308
CO_g	-1.4848484848484849	0.0	6.8	1.4584871562909143
CO_g	-1.4767676767676767	0.0	6.8	1.461896803282874
CO_g	-1.4686868686868686	0.0	6.8	1.46546186630429
CO_g	-1.460606060606061	0.0	6.8	1.4691804812054474
CO_g	-1.4525252525252526	0.0	6.8	1.473046157515445
CO_g	-1.4444444444444444	0.0	6.8	1.477048942346348
