Product	Voltage	pressure	pH	TOF_Coverage
CH4_g	-1.6181818181818182	0.0	6.8	124.18491973855764
CH4_g	-1.6095959595959597	0.0	6.8	105.65900463970856
CH4_g	-1.6010101010101012	0.0	6.8	89.84794956128358
CH4_g	-1.5924242424242423	0.0	6.8	76.35894535931476
CH4_g	-1.5838383838383838	0.0	6.8	64.85769423359349
CH4_g	-1.5752525252525251	0.0	6.8	55.058567509830496
CH4_g	-1.5666666666666669	0.0	6.8	46.71654078555968
CH4_g	-1.5580808080808082	0.0	6.8	39.620843689478896
CH4_g	-1.5494949494949497	0.0	6.8	33.58998975564477
CH4_g	-1.540909090909091	0.0	6.8	28.46778508193153
CH4_g	-1.5323232323232323	0.0	6.8	24.119996651563444
CH4_g	-1.5237373737373738	0.0	6.8	20.43147971982916
CH4_g	-1.5151515151515151	0.0	6.8	17.30365501707662
CH4_g	-1.5065656565656569	0.0	6.8	14.65227915100115
CH4_g	-1.4979797979797982	0.0	6.8	12.409422949917964
CH4_g	-1.4893939393939395	0.0	6.8	10.523392069045942
CH4_g	-1.4808080808080808	0.0	6.8	8.92496990557474
CH4_g	-1.4722222222222223	0.0	6.8	7.570191551578465
CH4_g	-1.4636363636363638	0.0	6.8	6.42178775504414
CH4_g	-1.4550505050505051	0.0	6.8	5.44818601124124
CH4_g	-1.4464646464646465	0.0	6.8	4.622652828612445
CH4_g	-1.437878787878788	0.0	6.8	3.922559117271495
CH4_g	-1.4292929292929295	0.0	6.8	3.3287527664519154
CH4_g	-1.4207070707070708	0.0	6.8	2.8250242817268765
CH4_g	-1.412121212121212	0.0	6.8	2.397652894270285
CH4_g	-1.4035353535353536	0.0	6.8	2.035021917267106
CH4_g	-1.394949494949495	0.0	6.8	1.7272933795393584
CH4_g	-1.3863636363636365	0.0	6.8	1.4661331507985242
CH4_g	-1.3777777777777778	0.0	6.8	1.244478893256486
CH4_g	-1.3691919191919193	0.0	6.8	1.056344219635229
CH4_g	-1.3606060606060606	0.0	6.8	0.8966533925095844
CH4_g	-1.352020202020202	0.0	6.8	0.761101752974199
CH4_g	-1.3434343434343434	0.0	6.8	0.6460378135964678
CH4_g	-1.334848484848485	0.0	6.8	0.548363594116061
CH4_g	-1.3262626262626265	0.0	6.8	0.465450325932404
CH4_g	-1.3176767676767678	0.0	6.8	0.395067113385094
CH4_g	-1.309090909090909	0.0	6.8	0.3353205274273002
CH4_g	-1.3005050505050506	0.0	6.8	0.2846034315055554
CH4_g	-1.291919191919192	0.0	6.8	0.241551610328316
CH4_g	-1.2833333333333334	0.0	6.8	0.2050069985254536
CH4_g	-1.2747474747474747	0.0	6.8	0.1739864954696214
CH4_g	-1.2661616161616165	0.0	6.8	0.1476555110337482
CH4_g	-1.2575757575757576	0.0	6.8	0.1253055200117275
CH4_g	-1.248989898989899	0.0	6.8	0.1063350146359017
CH4_g	-1.2404040404040404	0.0	6.8	0.0902333386302214
CH4_g	-1.231818181818182	0.0	6.8	0.0765669654633816
CH4_g	-1.2232323232323232	0.0	6.8	0.0649678503225509
CH4_g	-1.2146464646464648	0.0	6.8	0.0551235418108228
CH4_g	-1.206060606060606	0.0	6.8	0.0467687871359083
CH4_g	-1.1974747474747476	0.0	6.8	0.0396784049822869
CH4_g	-1.1888888888888889	0.0	6.8	0.0336612344947236
CH4_g	-1.1803030303030304	0.0	6.8	0.0285549978110413
CH4_g	-1.1717171717171715	0.0	6.8	0.0242219381743817
CH4_g	-1.1631313131313132	0.0	6.8	0.0205451165093002
CH4_g	-1.1545454545454543	0.0	6.8	0.0174252670336666
CH4_g	-1.145959595959596	0.0	6.8	0.0147781274812906
CH4_g	-1.1373737373737374	0.0	6.8	0.0125321722342045
CH4_g	-1.128787878787879	0.0	6.8	0.0106266874499397
CH4_g	-1.1202020202020202	0.0	6.8	0.0090101364036986
CH4_g	-1.1116161616161615	0.0	6.8	0.0076387709848785
CH4_g	-1.103030303030303	0.0	6.8	0.0064754517830632
CH4_g	-1.0944444444444446	0.0	6.8	0.005488644614268
CH4_g	-1.085858585858586	0.0	6.8	0.0046515657612383
CH4_g	-1.0772727272727274	0.0	6.8	0.0039414516459377
CH4_g	-1.068686868686869	0.0	6.8	0.0033389310472565
CH4_g	-1.0601010101010102	0.0	6.8	0.0028274791988089
CH4_g	-1.0515151515151515	0.0	6.8	0.0023929330938406
CH4_g	-1.042929292929293	0.0	6.8	0.0020230463444304
CH4_g	-1.0343434343434343	0.0	6.8	0.0017070612507333
CH4_g	-1.025757575757576	0.0	6.8	0.0014352801892343
CH4_g	-1.0171717171717172	0.0	6.8	0.0011986445671618
CH4_g	-1.0085858585858587	0.0	6.8	0.0009884236153328
CH4_g	-1.0	0.0	6.8	0.0007963676359884
CH4_g	-1.85	-3.0	6.8	124.28143331748066
CH4_g	-1.8414141414141416	-3.0	6.8	124.10451535086372
CH4_g	-1.8328282828282831	-3.0	6.8	123.89621003637568
CH4_g	-1.8242424242424244	-3.0	6.8	123.6511173807093
CH4_g	-1.8156565656565655	-3.0	6.8	123.36297334086004
CH4_g	-1.8070707070707075	-3.0	6.8	123.02453653633168
CH4_g	-1.7984848484848486	-3.0	6.8	122.62746987828808
CH4_g	-1.78989898989899	-3.0	6.8	122.1622212188706
CH4_g	-1.7813131313131314	-3.0	6.8	121.6179092187036
CH4_g	-1.772727272727273	-3.0	6.8	120.98222330196232
CH4_g	-1.7641414141414142	-3.0	6.8	120.24134982660502
CH4_g	-1.7555555555555555	-3.0	6.8	119.3799403972696
CH4_g	-1.746969696969697	-3.0	6.8	118.38114236057994
CH4_g	-1.7383838383838386	-3.0	6.8	117.2267155431332
CH4_g	-1.72979797979798	-3.0	6.8	115.89726251264112
CH4_g	-1.7212121212121212	-3.0	6.8	114.37260102199116
