Product	Voltage	pressure	pH	TOF_Coverage
CH3CH2OH_g	-1.4722222222222223	-3.0	6.8	0.0010485803500494
CH3CH2OH_g	-1.4636363636363638	-3.0	6.8	0.0011108337016239
CH3CH2OH_g	-1.4550505050505051	-3.0	6.8	0.0011705617493984
CH3CH2OH_g	-1.4464646464646465	-3.0	6.8	0.0011494122543527
CH3CH2OH_g	-1.437878787878788	-3.0	6.8	0.0010729786391601
CH3CH2OH_g	-1.4292929292929295	-3.0	6.8	0.0009876589502431
CH3CH2OH_g	-1.4207070707070708	-3.0	6.8	0.0008970885350694
CH3CH2OH_g	-1.412121212121212	-3.0	6.8	0.0008047238115773
CH3CH2OH_g	-1.4035353535353536	-3.0	6.8	0.0007136014571202
CH3CH2OH_g	-1.394949494949495	-3.0	6.8	0.0006261839183996
CH3CH2OH_g	-1.3863636363636365	-3.0	6.8	0.0005442952054097
CH3CH2OH_g	-1.3777777777777778	-3.0	6.8	0.0004691341716089
CH3CH2OH_g	-1.3691919191919193	-3.0	6.8	0.000401343070151
CH3CH2OH_g	-1.3606060606060606	-3.0	6.8	0.0003411071547375
CH3CH2OH_g	-1.352020202020202	-3.0	6.8	0.0002882643591536
CH3CH2OH_g	-1.3434343434343434	-3.0	6.8	0.0002424099191436
CH3CH2OH_g	-1.334848484848485	-3.0	6.8	0.000202986947409
CH3CH2OH_g	-1.3262626262626265	-3.0	6.8	0.0001693590963366
CH3CH2OH_g	-1.3176767676767678	-3.0	6.8	0.0001408650418639
CH3CH2OH_g	-1.309090909090909	-3.0	6.8	0.000116856650122
CH3CH2OH_g	-1.3005050505050506	-3.0	6.8	9.672366542040093e-05
CH3CH2OH_g	-1.291919191919192	-3.0	6.8	7.990796192876603e-05
CH3CH2OH_g	-1.2833333333333334	-3.0	6.8	6.591015989325242e-05
CH3CH2OH_g	-1.2747474747474747	-3.0	6.8	5.429095980969317e-05
CH3CH2OH_g	-1.2661616161616165	-3.0	6.8	4.466904772546067e-05
CH3CH2OH_g	-1.2575757575757576	-3.0	6.8	3.671695695546769e-05
CH3CH2OH_g	-1.248989898989899	-3.0	6.8	3.0155874775473608e-05
CH3CH2OH_g	-1.2404040404040404	-3.0	6.8	2.4750067568271848e-05
CH3CH2OH_g	-1.231818181818182	-3.0	6.8	2.0301359695666875e-05
CH3CH2OH_g	-1.2232323232323232	-3.0	6.8	1.6643928544502365e-05
CH3CH2OH_g	-1.2146464646464648	-3.0	6.8	1.3639557435972504e-05
CH3CH2OH_g	-1.206060606060606	-3.0	6.8	1.1173406847800473e-05
CH3CH2OH_g	-1.1974747474747476	-3.0	6.8	9.150312019087083e-06
CH3CH2OH_g	-1.1888888888888889	-3.0	6.8	7.491583059043289e-06
CH3CH2OH_g	-1.1803030303030304	-3.0	6.8	6.132265983449276e-06
CH3CH2OH_g	-1.1717171717171715	-3.0	6.8	5.018815580508858e-06
CH3CH2OH_g	-1.1631313131313132	-3.0	6.8	4.107131080921722e-06
CH3CH2OH_g	-1.1545454545454543	-3.0	6.8	3.360910585602401e-06
